"pu_hour","pu_month","pu_wday","avg_tip_amount"
0,"Jan","Sun",1.75884517009123
0,"Jan","Mon",2.0874489188653
0,"Jan","Tue",2.02821752481611
0,"Jan","Wed",1.99033215277113
0,"Jan","Thu",2.03499279654234
0,"Jan","Fri",2.15517935225673
0,"Jan","Sat",1.87534272488539
0,"Feb","Sun",2.06775722566621
0,"Feb","Mon",2.270727766463
0,"Feb","Tue",2.51280245716133
0,"Feb","Wed",2.30838716635212
0,"Feb","Thu",2.33726992453525
0,"Feb","Fri",2.29061871141581
0,"Feb","Sat",2.21702085172573
0,"Mar","Sun",2.14633785912535
0,"Mar","Mon",2.67189726027397
0,"Mar","Tue",2.3741812313501
0,"Mar","Wed",2.39250998569949
0,"Mar","Thu",2.42299829351536
0,"Mar","Fri",2.49956856520091
0,"Mar","Sat",2.31725235904602
0,"Apr","Sun",2.08412650540613
0,"Apr","Mon",2.66975535547966
0,"Apr","Tue",2.49914245810056
0,"Apr","Wed",2.34495360275848
0,"Apr","Thu",2.43912782900251
0,"Apr","Fri",2.42407281703178
0,"Apr","Sat",2.26059837369631
0,"May","Sun",2.07122982511352
0,"May","Mon",2.47981050316906
0,"May","Tue",2.54996036169949
0,"May","Wed",2.51723507491654
0,"May","Thu",2.44651052407607
0,"May","Fri",2.55520424010847
0,"May","Sat",2.22870851192747
0,"Jun","Sun",2.12552507042254
0,"Jun","Mon",2.72294282261655
0,"Jun","Tue",2.57357256596906
0,"Jun","Wed",2.42568876159302
0,"Jun","Thu",2.51255778600663
0,"Jun","Fri",2.5776635948481
0,"Jun","Sat",2.27741784449199
0,"Jul","Sun",2.09383063918137
0,"Jul","Mon",2.74683047188239
0,"Jul","Tue",2.52747335678956
0,"Jul","Wed",2.46860462373201
0,"Jul","Thu",2.3870639969261
0,"Jul","Fri",2.44772641165756
0,"Jul","Sat",2.18789868345736
0,"Aug","Sun",2.0311448618623
0,"Aug","Mon",2.55000843041079
0,"Aug","Tue",2.46216959258032
0,"Aug","Wed",2.40425201160436
0,"Aug","Thu",2.50394833668399
0,"Aug","Fri",2.44449771376941
0,"Aug","Sat",2.24062140148855
0,"Sep","Sun",2.0916826660423
0,"Sep","Mon",2.32524998621906
0,"Sep","Tue",2.62126133713397
0,"Sep","Wed",2.32540565524742
0,"Sep","Thu",2.5086772752143
0,"Sep","Fri",2.45601776163084
0,"Sep","Sat",2.26099580834163
0,"Oct","Sun",2.16067800554251
0,"Oct","Mon",2.68279179202345
0,"Oct","Tue",2.53400799147576
0,"Oct","Wed",2.42804563007679
0,"Oct","Thu",2.48392537864795
0,"Oct","Fri",2.54493659507528
0,"Oct","Sat",2.31639409626611
0,"Nov","Sun",2.16863344187423
0,"Nov","Mon",2.63635775127768
0,"Nov","Tue",2.49113611932276
0,"Nov","Wed",2.33712305867127
0,"Nov","Thu",2.37996156370113
0,"Nov","Fri",2.34872744462453
0,"Nov","Sat",2.27770682176273
0,"Dec","Sun",2.17638151194673
0,"Dec","Mon",2.57581775307394
0,"Dec","Tue",2.44010630396435
0,"Dec","Wed",2.36507036608177
0,"Dec","Thu",2.4932405511811
0,"Dec","Fri",2.53866590126292
0,"Dec","Sat",2.35218945690539
1,"Jan","Sun",1.73702203394079
1,"Jan","Mon",1.78830725796965
1,"Jan","Tue",1.90669574423036
1,"Jan","Wed",1.77339653158415
1,"Jan","Thu",1.80717692815733
1,"Jan","Fri",1.88064855228376
1,"Jan","Sat",1.77843806104129
1,"Feb","Sun",2.06154395832373
1,"Feb","Mon",1.88926221804511
1,"Feb","Tue",2.23593371347113
1,"Feb","Wed",2.21312451737452
1,"Feb","Thu",2.24822311232316
1,"Feb","Fri",1.98663683285746
1,"Feb","Sat",2.06574892269353
1,"Mar","Sun",2.05713987547757
1,"Mar","Mon",2.32745344024832
1,"Mar","Tue",2.15171635049684
1,"Mar","Wed",2.10259981078524
1,"Mar","Thu",2.21584288577154
1,"Mar","Fri",2.20350159294965
1,"Mar","Sat",2.1941935483871
1,"Apr","Sun",2.0523294128851
1,"Apr","Mon",2.30318595844847
1,"Apr","Tue",2.27484787725569
1,"Apr","Wed",2.09121533280507
1,"Apr","Thu",2.24139905681563
1,"Apr","Fri",2.28118485262541
1,"Apr","Sat",2.20150934779506
1,"May","Sun",1.98126727740276
1,"May","Mon",2.38742241855329
1,"May","Tue",2.32925227424007
1,"May","Wed",2.33955211558308
1,"May","Thu",2.30898690950484
1,"May","Fri",2.39365099806825
1,"May","Sat",2.10210877612288
1,"Jun","Sun",2.08397655007949
1,"Jun","Mon",2.66329892692897
1,"Jun","Tue",2.37444713054446
1,"Jun","Wed",2.32353625858315
1,"Jun","Thu",2.37356690837179
1,"Jun","Fri",2.37821642196846
1,"Jun","Sat",2.11749907719032
1,"Jul","Sun",2.02498068807668
1,"Jul","Mon",2.45846007604563
1,"Jul","Tue",2.39165316340464
1,"Jul","Wed",2.10999856558847
1,"Jul","Thu",2.31384510032185
1,"Jul","Fri",2.38491896454699
1,"Jul","Sat",2.06031854183239
1,"Aug","Sun",1.99004769589385
1,"Aug","Mon",2.2996241852725
1,"Aug","Tue",2.20363458720078
1,"Aug","Wed",2.35197046212482
1,"Aug","Thu",2.46136332223409
1,"Aug","Fri",2.44961212021813
1,"Aug","Sat",2.06873512696324
1,"Sep","Sun",2.05156658202365
1,"Sep","Mon",2.03529895723716
1,"Sep","Tue",2.35765742452249
1,"Sep","Wed",2.12579552329099
1,"Sep","Thu",2.21109855229542
1,"Sep","Fri",2.20736692015209
1,"Sep","Sat",2.10076276575157
1,"Oct","Sun",2.08080992928991
1,"Oct","Mon",1.96150589868147
1,"Oct","Tue",2.0089058018972
1,"Oct","Wed",2.06719785448568
1,"Oct","Thu",2.17452380952381
1,"Oct","Fri",2.34281442117328
1,"Oct","Sat",2.10960897900072
1,"Nov","Sun",2.07516915293031
1,"Nov","Mon",1.90311496062992
1,"Nov","Tue",2.0865358974359
1,"Nov","Wed",2.05738893376414
1,"Nov","Thu",2.10402874776677
1,"Nov","Fri",2.15376801449395
1,"Nov","Sat",2.10239024151755
1,"Dec","Sun",2.065343323217
1,"Dec","Mon",2.2352972972973
1,"Dec","Tue",2.35458415354331
1,"Dec","Wed",2.04886550476817
1,"Dec","Thu",2.39162062090572
1,"Dec","Fri",2.28968328335832
1,"Dec","Sat",2.24064778761062
2,"Jan","Sun",1.69800602073118
2,"Jan","Mon",1.60537263232431
2,"Jan","Tue",1.78873615054841
2,"Jan","Wed",1.56076613482823
2,"Jan","Thu",1.6033649573676
2,"Jan","Fri",1.58819194859954
2,"Jan","Sat",1.69014298323036
2,"Feb","Sun",1.97332549708265
2,"Feb","Mon",1.81417592102944
2,"Feb","Tue",1.83057308435287
2,"Feb","Wed",2.01268690825988
2,"Feb","Thu",1.95870564859495
2,"Feb","Fri",1.91034995296331
2,"Feb","Sat",1.93547455839705
